Atletas por escalão:
20 - 24 (80 - 26.67%):
- Cheryl Berger
- Marla Kelley
- Nikki Calderon
- Milagros Osborn
- Lester Strong
- Haley Estes
- Freeman Diaz
- Castaneda Kennedy
- Rosalind Michael
- Leanne Barron
- Jeanie Cantrell
- Myrna Guerrero
- Mari Collier
- Lisa Ford
- Brigitte Yates
- Kristina Brock
- Kathie Preston
- Hollie Solis
- Robbie Bailey
- Chandra Edwards
- Carmella Shaw
- Leticia Pena
- Kristen Jacobs
- Mcdonald Bender
- Villarreal Walton
- Mcknight Price
- Donna Blevins
- Cantrell Santos
- Nunez Guy
- Sofia Todd
- Elliott Vaughan
- Osborne Cox
- Annabelle Duffy
- Foley Pollard
- Tamera Pierce
- Mabel Faulkner
- Schmidt Hopper
- Kent Tyler
- Marsh Jenkins
- Virginia Mcdowell
- Newton Zamora
- Lula Whitaker
- Hunter Russo
- Tami Briggs
- Bianca Prince
- Ratliff Medina
- Faulkner Baird
- Frazier Aguilar
- Combs Rollins
- Ashlee Beard
- Lindsay Thompson
- Maynard Erickson
- Flynn York
- Stacey Mills
- Velasquez Barber
- Kristen Goodwin
- Rhea Patel
- Stewart Pugh
- Bowers Conrad
- Burch Navarro
- Young Estes
- Lela Chan
- Harding Hudson
- Levine Sampson
- Bell Zimmerman
- Summer Spencer
- Blackburn Price
- Kate Woods
- Silvia Ayala
- Marci Summers
- Farrell Gilliam
- Skinner Mcintosh
- Ayers Lara
- Trujillo Burke
- Kramer Mcclure
- Jacqueline Love
- Holcomb Mathis
- Pacheco Robbins
- Cunningham Curry
- Joanne Wise

25 - 29 (102 - 34.0%):
- Delgado Gay
- Graves Goff
- Mckay Bolton
- Valentine Sellers
- Martha Hyde
- Isabella Howell
- Samantha Romero
- Langley Mcbride
- Logan Kane
- Vaughan Herman
- Julianne Powell
- Elisa Bernard
- Dawson Mayo
- Miranda Powers
- Lott Robertson
- Lora Ward
- Maritza Kaufman
- Graciela Carney
- Wilson Tucker
- Marie Craft
- Tania Sargent
- Kristi Melton
- Simmons Conway
- Walker Wooten
- Ashley Rivers
- Reva Kirk
- Goldie Mcgee
- Hester Johnston
- Josefa Valencia
- Jennifer Morris
- Ivy Sandoval
- Livingston Thomas
- Stephenson Cooke
- Brooks Gamble
- Blevins Davenport
- Shepard Stevens
- Nielsen Tanner
- Fox Williams
- Nadine Nixon
- Isabella Dickson
- Torres Pittman
- Anna May
- Stanton Barrera
- Andrea Hensley
- Nola Wade
- Charles Bowman
- Gaines Owens
- Gill Fitzpatrick
- Roberta Montoya
- Karla Marsh
- Lily Marks
- Watson Robles
- Rojas Bray
- Shields Bean
- Pate Davis
- Bernice Bartlett
- Mathis Miller
- Foster Randolph
- Tammy Maddox
- Alyssa Melendez
- Latisha Cantrell
- Banks Anderson
- House Murphy
- Leon Schmidt
- Stevenson Perkins
- Joseph Schmidt
- Frank Schwartz
- Patti Osborne
- Vera Scott
- Maryann Workman
- Alston Richardson
- Avis Craft
- Roberta Joseph
